,Date,TweetID,User,Tweet,Langue,Hashtags,ReplyCount,RetweetCount,LikeCount,Quotecount,Media,Source,coordinates,place
3815,2021-12-04 15:41:02+00:00,1467157004363964416,Atwood97317610,one thing about Selena Gomez she will always be kind and loving to her fans https://t.co/YrZAjmEQ9s,en,,0,0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1466926171145310212/pu/img/m6c_9Shu7uxlUBeH.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/vid/480x600/py1t6po3vof1gTpT.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/vid/720x900/hOgSUcul-I5GkjU0.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/vid/320x400/wlB0auJPDLLRrxGm.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/pl/Yp4b65q0Tm_hIuhX.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=7.833, views=14080, altText=None)]",Twitter Web App,,
3816,2021-12-04 02:38:05+00:00,1466959965306900482,loveforfarmiga,Jane Fonda and Lily Tomlin talking about selena gomez?!?!? I AM NOT OKAY OH MY GOD?!?! https://t.co/qn49jdT2U5,en,,5,138,863,16,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1466952031164321796/pu/img/aMA5n16pOX4kENec.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1466952031164321796/pu/vid/510x270/5MlswCR76oVh582A.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466952031164321796/pu/vid/1280x676/o2eEXhN8qqeNCjkA.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466952031164321796/pu/vid/680x360/ZZp_d7r8qZmpOct5.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466952031164321796/pu/pl/EZ0mV0xi9-yqJK3-.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=12.609, views=26873, altText=None)]",Twitter for iPhone,,
3817,2021-12-04 00:23:58+00:00,1466926214870827008,rareSGvideos,one thing about Selena Gomez she will always be kind and loving to her fans https://t.co/QDdO9qiUd0,en,,4,127,1217,10,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1466926171145310212/pu/img/m6c_9Shu7uxlUBeH.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/vid/480x600/py1t6po3vof1gTpT.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/vid/720x900/hOgSUcul-I5GkjU0.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/vid/320x400/wlB0auJPDLLRrxGm.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1466926171145310212/pu/pl/Yp4b65q0Tm_hIuhX.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=7.833, views=14080, altText=None)]",Twitter for Android,,
3818,2021-12-03 21:49:08+00:00,1466887252039118851,comfortdwt,@DWTUPDATEE @GeorgeNootFound @sapnapalt i had a bad dream about selena gomez last night get this out of my tl,en,,0,0,19,0,,Twitter for iPhone,,
3819,2021-12-03 14:31:43+00:00,1466777168734793729,betwithbrick,Woke up thinking about Selena Gomez pissing in that cup standing up,en,,0,0,0,0,,Twitter for iPhone,,
3820,2021-12-03 09:26:17+00:00,1466700307375673353,murielmaraschno,We as a society should talk about Selena Gomez’s song Bad Liar more,en,,0,0,2,0,,Twitter for iPhone,,
3821,2021-12-03 03:20:10+00:00,1466608171083091972,HiighValyrian,not this entire thread being about Selena Gomez sksksksksksksksksks,en,,0,2,3,0,,Twitter Web App,,
3822,2021-12-03 00:00:20+00:00,1466557879842865153,latatarosalia,@playrevivaI @iamcardib -me talking about selena gomez music,en,,4,0,43,0,,Twitter for iPhone,,
3823,2021-12-02 14:10:25+00:00,1466409421555351555,DillonPillay8,"@zinedeen22 Dorothea- Taylor Swift I mean I see that Taylor's version in your username so need I say more? But if you don't know it is very Yee Haw but also delivered subtly. Rumored to be about Selena Gomez. One of my faves of Evermore 
https://t.co/VGyhLeCbW8",en,,1,0,2,0,,Twitter Web App,,
3824,2021-12-01 22:52:25+00:00,1466178400779915273,daffinclouds,why is all my tl about selena gomez wtf,en,,2,0,1,0,,Twitter for Android,,
3825,2021-12-01 20:36:20+00:00,1466144155369889802,forevercrimes,@MaggieLindemann what about selena gomez,en,,0,0,1,0,,Twitter for iPhone,,
3826,2021-12-01 00:01:52+00:00,1465833491673796609,alexcochina,@leakingmusic do you like selena gomez? whats your selena gomez favorite album? and what about selena gomez &amp; the scene albums?,en,,0,0,1,0,,Twitter for iPhone,,
